9.999999999999831246e-02 8.000000000000003775e-01
8.955815001540261555e-01 9.190829150699344474e-01
1.000000000000005329e-01 1.066666666666666430e+00
1.000000000000005329e-01 1.199999999999999956e+00
1.581271889333635716e+00 1.109131164861143493e+00
1.678947368421053188e+00 8.000000000000000444e-01
2.164388775286350874e+00 9.840295068694692171e-01
2.994818509682763086e+00 1.152543925525691515e+00
3.257894736842104955e+00 8.000000000000000444e-01
3.521052631578947434e+00 9.333333333333332371e-01
4.310526315789473095e+00 1.066666666666666430e+00
4.573684210526314686e+00 1.199999999999999956e+00
4.836842105263157165e+00 7.999999999999999334e-01
5.099999999999999645e+00 9.333333333333332371e-01
9.999999999999831246e-02 8.000000000000003775e-01
8.955815001540261555e-01 9.190829150699344474e-01
1.000000000000005329e-01 1.066666666666666430e+00
1.000000000000005329e-01 1.199999999999999956e+00
1.581271889333635716e+00 1.109131164861143493e+00
1.678947368421053188e+00 8.000000000000000444e-01
2.164388775286350874e+00 9.840295068694692171e-01
2.994818509682763086e+00 1.152543925525691515e+00
3.257894736842104955e+00 8.000000000000000444e-01
3.521052631578947434e+00 9.333333333333332371e-01
4.310526315789473095e+00 1.066666666666666430e+00
4.573684210526314686e+00 1.199999999999999956e+00
4.836842105263157165e+00 7.999999999999999334e-01
5.099999999999999645e+00 9.333333333333332371e-01
9.999999999999831246e-02 8.000000000000003775e-01
8.955815001540261555e-01 9.190829150699344474e-01
1.000000000000005329e-01 1.066666666666666430e+00
1.000000000000005329e-01 1.199999999999999956e+00
1.581271889333635716e+00 1.109131164861143493e+00
1.678947368421053188e+00 8.000000000000000444e-01
2.164388775286350874e+00 9.840295068694692171e-01
2.994818509682763086e+00 1.152543925525691515e+00
3.257894736842104955e+00 8.000000000000000444e-01
3.521052631578947434e+00 9.333333333333332371e-01
4.310526315789473095e+00 1.066666666666666430e+00
4.573684210526314686e+00 1.199999999999999956e+00
4.836842105263157165e+00 7.999999999999999334e-01
5.099999999999999645e+00 9.333333333333332371e-01
9.999999999999831246e-02 8.000000000000003775e-01
8.955815001540261555e-01 9.190829150699344474e-01
1.000000000000005329e-01 1.066666666666666430e+00
1.000000000000005329e-01 1.199999999999999956e+00
1.581271889333635716e+00 1.109131164861143493e+00
1.678947368421053188e+00 8.000000000000000444e-01
2.164388775286350874e+00 9.840295068694692171e-01
2.994818509682763086e+00 1.152543925525691515e+00
3.257894736842104955e+00 8.000000000000000444e-01
3.521052631578947434e+00 9.333333333333332371e-01
4.310526315789473095e+00 1.066666666666666430e+00
4.573684210526314686e+00 1.199999999999999956e+00
4.836842105263157165e+00 7.999999999999999334e-01
5.099999999999999645e+00 9.333333333333332371e-01
9.999999999999831246e-02 8.000000000000003775e-01
8.955815001540261555e-01 9.190829150699344474e-01
1.000000000000005329e-01 1.066666666666666430e+00
1.000000000000005329e-01 1.199999999999999956e+00
1.581271889333635716e+00 1.109131164861143493e+00
1.678947368421053188e+00 8.000000000000000444e-01
2.164388775286350874e+00 9.840295068694692171e-01
2.994818509682763086e+00 1.152543925525691515e+00
3.257894736842104955e+00 8.000000000000000444e-01
3.521052631578947434e+00 9.333333333333332371e-01
4.310526315789473095e+00 1.066666666666666430e+00
4.573684210526314686e+00 1.199999999999999956e+00
4.836842105263157165e+00 7.999999999999999334e-01
5.099999999999999645e+00 9.333333333333332371e-01
